Year,President,Seconds
 1964,Lyndon B. Johnson,2450.0
 1965,Lyndon B. Johnson,2830.0
 1966,Lyndon B. Johnson,3036.0
 1967,Lyndon B. Johnson,4276.0
 1968,Lyndon B. Johnson,3013.0
 1969,Lyndon B. Johnson,2621.0
 1970,Richard Nixon,2200.0
 1971,Richard Nixon,1997.0
 1972,Richard Nixon,1735.0
 1974,Richard Nixon,2571.0
 1975,Gerald R. Ford,2460.0
 1976,Gerald R. Ford,3038.0
 1977,Gerald R. Ford,2695.0
 1978,Jimmy Carter,2764.0
 1979,Jimmy Carter,1952.0
 1980,Jimmy Carter,1924.0
 1982,Ronald Reagan,2414.0
 1983,Ronald Reagan,2760.0
 1984,Ronald Reagan,2582.0
 1985,Ronald Reagan,2400.0
 1986,Ronald Reagan,1860.0
 1987,Ronald Reagan,2079.0
 1988,Ronald Reagan,2640.0
 1990,George Bush,2143.0
 1991,George Bush,2830.0
 1992,George Bush,3064.0
 1994,William J. Clinton,3824.0
 1995,William J. Clinton,5098.0
 1996,William J. Clinton,4001.0
 1997,William J. Clinton,3861.0
 1998,William J. Clinton,4603.0
 1999,William J. Clinton,4720.0
 2000,William J. Clinton,5329.0
 2002,George W. Bush,2869.0
 2003,George W. Bush,3575.0
 2004,George W. Bush,3235.0
 2005,George W. Bush,3200.0
 2006,George W. Bush,3068.0
 2007,George W. Bush,2964.0
 2008,George W. Bush,3176.0
 2010,Barack Obama,4160.0
 2011,Barack Obama,3694.0
 2012,Barack Obama,3884.0
 2013,Barack Obama,3591.0
 2014,Barack Obama,3907.0
 2015,Barack Obama,3597.0
 2016,Barack Obama,3524.0
 2018,Donald J. Trump,4832.0
 2019,Donald J. Trump,4945.0
 2020,Donald J. Trump,4684.0
 2022,Joseph R. Biden,3710.0
